Round,,Object 0,,,Object 4,,,Object 8,,,
,,x,y,,x,y,,x,y,,
0,,16.4,71.9,,36.81,22.21,,67.69,28.18,,
1,,15.8,71.81,,35.61,23.41,,66.36,27.35,,
2,,15.2,71.71,,34.42,24.62,,65.03,26.52,,
3,,14.6,71.61,,33.22,25.83,,63.7,25.68,,
4,,14,71.51,,32.02,27.04,,62.36,24.84,,
5,,13.4,71.41,,30.83,28.25,,61.02,24,,
6,,12.8,71.31,,29.63,29.47,,59.68,23.16,,
7,,12.21,71.21,,28.43,30.68,,58.33,22.31,,
8,,11.61,71.11,,27.23,31.9,,56.98,21.46,,
9,,11.01,71.01,,26.03,33.11,,55.63,20.61,,
10,,10.41,70.91,,24.83,34.33,,54.28,19.76,,
11,,9.81,70.81,,23.63,35.55,,52.93,18.91,,
12,,9.21,70.71,,22.43,36.77,,51.57,18.06,,
13,,8.61,70.61,,21.22,37.99,,50.21,17.21,,
14,,8.01,70.51,,20.02,39.21,,48.85,16.35,,
15,,7.41,70.41,,18.81,40.43,,47.49,15.5,,
16,,6.81,70.31,,17.6,41.65,,46.13,14.65,,
17,,6.21,70.21,,16.39,42.88,,44.77,13.79,,
18,,5.61,70.11,,15.19,44.1,,43.41,12.94,,
19,,5.01,70.01,,13.97,45.32,,42.05,12.09,,
20,,4.41,69.91,,12.76,46.54,,40.69,11.23,,
21,,3.81,69.81,,11.55,47.77,,39.33,10.38,,
22,,3.21,69.71,,10.34,48.99,,37.97,9.53,,
23,,2.61,69.61,,9.12,50.22,,36.61,8.68,,
24,,2.01,69.51,,7.91,51.44,,35.26,7.83,,
25,,1.41,69.41,,6.7,52.67,,33.91,6.99,,
26,,0.81,69.31,,5.48,53.9,,32.57,6.14,,
27,,0.21,69.21,,4.27,55.12,,31.23,5.3,,
28,,-0.39,69.11,,3.05,56.35,,29.91,4.47,,
29,,0.21,69.01,,1.83,57.58,,28.59,3.63,,
30,,0.81,68.91,,0.61,58.8,,27.29,2.81,,
31,,1.41,68.81,,-0.6,60.03,,26,1.99,,
32,,2.01,68.71,,0.61,61.26,,24.75,1.18,,
33,,2.61,68.61,,1.83,62.48,,23.54,0.38,,
34,,3.21,68.51,,3.05,63.71,,25.55,0.41,,
35,,3.51,74.88,,3.37,70.56,,27.79,0.45,,
36,,3.85,81.93,,3.72,78.04,,30.29,0.49,,
37,,4.22,89.74,,4.1,86.23,,33.07,0.53,,
38,,4.35,98.77,,4.26,95.25,,36.18,0.56,,
39,,4.52,108.67,,4.46,105.13,,39.61,0.6,,
40,,4.73,97.82,,4.69,94.29,,43.38,0.64,,
41,,4.99,107.62,,4.97,104.07,,47.55,0.69,,
42,,5.28,96.88,,5.29,93.34,,52.13,0.74,,
43,,5.62,106.58,,5.65,103.02,,57.17,0.8,,
44,,6,95.94,,6.03,92.39,,62.7,0.88,,
45,,6.42,105.55,,6.45,102,,68.8,0.97,,
46,,6.89,95.02,,6.92,91.47,,75.5,1.07,,
47,,7.4,104.53,,7.44,100.98,,82.88,1.17,,
48,,7.97,94.1,,8.01,90.56,,91,1.29,,
49,,8.6,103.52,,8.63,99.97,,99.94,1.42,,
50,,9.29,93.2,,9.32,110.29,,109.77,1.56,,
51,,10.05,102.52,,10.02,99.97,,99.06,1.72,,
52,,10.89,92.27,,10.85,110.22,,108.76,1.89,,
53,,11.81,101.52,,11.69,99.97,,98.18,2.08,,
54,,12.83,91.34,,12.71,110.14,,107.76,2.29,,
55,,13.95,100.52,,13.73,99.97,,97.29,2.52,,
56,,15.19,90.43,,14.96,110.06,,106.76,2.77,,
57,,16.55,99.52,,16.2,99.97,,96.41,3.05,,
58,,18.05,109.51,,17.7,109.96,,105.77,3.36,,
59,,19.71,98.52,,19.35,98.97,,95.53,3.69,,
60,,21.52,108.41,,21.17,108.86,,104.78,4.06,,
61,,23.52,97.53,,23.17,97.98,,94.65,4.47,,
62,,25.72,107.32,,25.37,107.78,,103.8,4.92,,
63,,28.15,96.55,,27.8,97,,93.77,5.41,,
64,,30.81,106.24,,30.46,106.7,,83.71,5.9,,
65,,33.76,95.58,,33.41,96.03,,73.65,6.39,,
66,,37,105.18,,36.66,105.63,,63.58,6.87,,
67,,40.59,94.62,,40.24,95.07,,53.5,7.35,,
68,,44.54,104.12,,44.2,104.57,,43.42,7.83,,
69,,48.89,93.67,,48.55,94.12,,33.34,8.32,,
70,,53.69,103.07,,53.35,103.53,,23.24,8.79,,
71,,58.97,92.73,,58.63,93.18,,13.15,9.27,,
72,,64.79,102.04,,64.45,102.5,,3.05,9.75,,
73,,71.19,91.8,,70.85,92.25,,3.5,10.32,,
74,,78.25,101.01,,77.9,101.47,,4.19,11.13,,
75,,86.02,90.88,,85.68,91.33,,4.4,12.4,,
76,,94.59,100,,94.25,100.46,,5.19,13.49,,
77,,104.04,110.03,,103.69,90.42,,6.02,14.73,,
78,,94.59,100,,93.29,99.45,,6.9,16.12,,
79,,103.95,109.93,,102.65,109.39,,7.84,17.68,,
