Round,,Object 3,,,Object 7,,,
,,x,y,,x,y,,
0,,61.6,47.31,,95.61,77.72,,
1,,62.2,46.62,,96.21,77.43,,
2,,62.79,45.93,,96.81,77.16,,
3,,63.38,45.24,,97.41,76.89,,
4,,63.97,44.55,,98.02,76.62,,
5,,64.56,43.87,,98.62,76.36,,
6,,65.15,43.19,,99.23,76.1,,
7,,65.73,42.51,,99.84,75.85,,
8,,66.32,41.83,,100.45,75.6,,
9,,66.9,41.15,,99.84,75.35,,
10,,67.49,40.47,,99.23,75.1,,
11,,68.07,39.79,,98.62,74.86,,
12,,68.64,39.1,,98.01,74.61,,
13,,69.22,38.41,,97.4,74.36,,
14,,69.79,37.72,,96.78,74.11,,
15,,70.35,37.03,,96.16,73.86,,
16,,70.9,36.33,,95.54,73.61,,
17,,71.45,35.62,,94.91,73.35,,
18,,71.98,34.9,,94.26,73.08,,
19,,72.5,34.17,,93.6,72.79,,
20,,72.99,33.41,,92.93,72.5,,
21,,73.45,32.63,,92.22,72.17,,
22,,81.09,36.18,,91.48,71.81,,
23,,89.45,40.05,,90.69,71.41,,
24,,98.62,44.28,,89.87,70.96,,
25,,108.69,48.9,,88.98,70.45,,
26,,98.6,53.55,,88.14,69.98,,
27,,88.51,58.2,,87.3,69.52,,
28,,78.43,62.83,,86.48,69.05,,
29,,68.35,67.46,,85.67,68.59,,
30,,58.29,72.14,,84.88,68.18,,
31,,48.22,76.81,,84.1,67.76,,
32,,38.16,81.48,,83.32,67.34,,
33,,28.1,86.16,,82.56,66.93,,
34,,18.04,90.83,,81.8,66.52,,
35,,7.99,95.51,,81.06,66.12,,
36,,-2.06,100.2,,80.33,65.73,,
37,,-2.05,90.16,,79.47,65.34,,
38,,-2.1,99.2,,78.49,64.97,,
39,,-2.06,109.13,,77.44,64.64,,
40,,-1.97,98.27,,76.35,64.35,,
41,,-1.83,108.09,,75.2,64.11,,
42,,-1.63,97.34,,74,63.95,,
43,,-1.49,86.6,,72.72,63.83,,
44,,-1.33,75.85,,71.45,63.72,,
45,,-1.17,65.09,,70.17,63.61,,
46,,-1.01,54.33,,68.89,63.52,,
47,,-0.85,43.57,,67.59,63.43,,
48,,-0.69,32.82,,66.29,63.35,,
49,,-0.54,22.06,,64.99,63.27,,
50,,-0.38,11.3,,63.69,63.2,,
51,,-0.23,0.54,,62.38,63.13,,
52,,-0.08,-10.22,,61.07,63.06,,
53,,0.07,0.54,,59.76,63,,
54,,0.22,11.3,,58.44,62.94,,
55,,0.37,22.06,,57.12,62.88,,
56,,0.52,32.82,,55.8,62.82,,
57,,0.66,43.57,,54.47,62.77,,
58,,0.8,54.33,,53.14,62.72,,
59,,0.93,65.09,,51.81,62.67,,
60,,1.07,75.85,,50.47,62.62,,
61,,1.2,86.61,,49.13,62.58,,
62,,1.33,97.37,,47.79,62.53,,
63,,1.45,108.12,,46.44,62.48,,
64,,1.57,97.37,,45.09,62.44,,
65,,1.69,86.61,,43.73,62.39,,
66,,1.81,75.85,,42.38,62.35,,
67,,1.92,65.09,,41.02,62.31,,
68,,2.03,54.33,,39.66,62.27,,
69,,2.14,43.58,,38.3,62.23,,
70,,2.24,32.82,,36.93,62.2,,
71,,2.34,22.06,,35.57,62.17,,
72,,2.43,11.31,,34.19,62.15,,
73,,2.51,12.84,,32.59,62.7,,
74,,2.72,14.12,,30.92,63.31,,
75,,3.03,15.39,,29.19,64,,
76,,3.36,16.79,,27.38,64.8,,
77,,3.79,18.27,,25.52,65.67,,
78,,4.3,19.84,,23.6,66.6,,
79,,4.91,21.53,,21.63,67.58,,
80,,5.62,23.37,,19.61,68.61,,
81,,6.37,25.43,,17.54,69.7,,
82,,7.16,27.73,,15.42,70.86,,
83,,8.09,30.22,,13.24,72.06,,
84,,8.97,32.74,,11.03,73.31,,
85,,9.82,35.29,,8.77,74.58,,
86,,10.62,37.87,,6.47,75.88,,
87,,11.39,40.46,,4.13,77.19,,
88,,12.12,43.05,,1.76,78.51,,
89,,12.83,45.64,,-0.64,79.83,,
90,,13.52,48.22,,1.76,81.14,,
91,,14.2,50.8,,4.14,82.46,,
92,,14.88,53.38,,6.51,83.77,,
93,,15.55,55.95,,8.87,85.08,,
94,,16.22,58.52,,11.23,86.39,,
95,,16.88,61.08,,13.59,87.7,,
96,,17.55,63.65,,15.93,89,,
97,,18.21,66.21,,18.28,90.31,,
98,,18.87,68.76,,20.62,91.62,,
99,,19.53,71.32,,22.96,92.92,,
