Round,,Object 0,,,Object 1,,,Object 2,,,Object 3,,,Object 4,,,Object 5,,,Object 6,,,Object 7,,,Object 8,,,Object 9,,,
,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,
0,,79.02,6.89,,54.91,80.71,,23.09,45.29,,7.2,94.01,,46.82,27.8,,91.01,72.31,,63.71,17.6,,18.87,56.25,,31.19,24.87,,35.83,41.01,,
1,,78.05,6.77,,54.81,80.43,,22.16,44.57,,8.39,94.03,,45.65,26.58,,90.03,71.61,,62.43,16.19,,19.72,57.51,,32.35,25.72,,35.66,41.03,,
2,,77.09,6.64,,54.72,80.15,,21.2,43.84,,9.58,94.05,,44.51,25.36,,89.05,70.92,,61.15,14.77,,20.56,58.8,,33.49,26.55,,35.5,41.06,,
3,,76.15,6.49,,54.63,79.88,,20.22,43.11,,10.76,94.07,,43.39,24.12,,88.07,70.23,,59.87,13.35,,21.39,60.11,,34.6,27.35,,35.36,41.11,,
4,,75.22,6.35,,54.54,79.62,,19.22,42.38,,11.94,94.11,,42.3,22.86,,87.11,69.55,,58.6,11.92,,22.22,61.43,,35.67,28.15,,35.23,41.18,,
5,,74.31,6.19,,54.46,79.36,,18.19,41.65,,13.11,94.14,,41.24,21.56,,86.15,68.86,,57.33,10.49,,23.04,62.76,,36.71,28.96,,35.1,41.27,,
6,,73.41,6.03,,54.38,79.11,,17.14,40.91,,14.29,94.19,,40.2,20.22,,85.19,68.18,,56.06,9.04,,23.86,64.11,,37.75,29.79,,34.98,41.38,,
7,,72.52,5.86,,54.3,78.87,,16.07,40.18,,15.45,94.24,,39.15,18.84,,84.25,67.5,,54.79,7.58,,24.67,65.46,,38.78,30.62,,34.86,41.51,,
8,,71.65,5.68,,54.23,78.63,,14.98,39.44,,16.61,94.31,,38.09,17.43,,83.31,66.82,,53.53,6.11,,25.48,66.82,,39.83,31.44,,34.73,41.67,,
9,,70.8,5.5,,54.16,78.4,,13.87,38.7,,17.77,94.38,,37.02,16.01,,82.38,66.14,,52.26,4.62,,26.29,68.19,,40.9,32.26,,34.6,41.85,,
10,,69.96,5.32,,54.09,78.18,,12.75,37.96,,18.93,94.46,,35.94,14.58,,81.45,65.46,,51,3.12,,27.08,69.56,,41.99,33.06,,34.46,42.05,,
11,,69.14,5.13,,54.03,77.97,,11.61,37.22,,20.08,94.54,,34.86,13.15,,80.54,64.79,,49.74,1.61,,27.88,70.93,,43.09,33.85,,34.3,42.26,,
12,,68.32,4.93,,53.97,77.76,,10.46,36.47,,21.22,94.64,,33.76,11.7,,79.63,64.12,,48.47,3.12,,28.67,72.31,,44.21,34.64,,34.13,42.49,,
13,,67.52,4.74,,53.92,77.56,,9.3,35.73,,22.36,94.75,,32.64,10.25,,78.73,63.45,,47.22,4.62,,29.45,73.69,,45.35,35.41,,33.96,42.73,,
14,,66.74,4.53,,53.88,77.37,,8.12,34.98,,23.49,94.87,,31.52,8.79,,77.84,62.77,,45.97,6.11,,30.23,75.07,,46.5,36.18,,33.76,42.98,,
15,,65.96,4.32,,53.84,77.18,,6.94,34.23,,24.62,95,,30.37,7.33,,76.96,62.11,,44.73,7.59,,31.01,76.45,,47.67,36.95,,33.56,43.23,,
16,,65.2,4.11,,53.81,77,,5.74,33.49,,25.74,95.15,,29.21,5.86,,76.09,61.44,,43.5,9.06,,31.78,77.83,,48.85,37.72,,33.35,43.49,,
17,,64.44,3.88,,53.78,76.82,,4.53,32.74,,26.86,95.31,,28.03,4.38,,75.23,60.77,,42.27,10.53,,32.54,79.21,,50.04,38.48,,33.12,43.76,,
18,,63.7,3.65,,53.76,76.66,,3.32,31.99,,27.96,95.48,,26.83,2.88,,74.38,60.1,,41.06,11.99,,33.3,80.59,,51.24,39.25,,32.89,44.02,,
19,,62.97,3.41,,53.76,76.49,,2.09,31.24,,29.06,95.68,,25.63,1.37,,73.54,59.44,,39.84,13.46,,34.06,81.96,,52.45,40.01,,32.65,44.29,,
20,,62.24,3.17,,53.76,76.34,,3.32,30.49,,30.15,95.89,,24.42,2.88,,72.71,58.77,,38.63,14.92,,34.81,83.33,,53.67,40.77,,32.4,44.57,,
21,,61.52,2.92,,53.76,76.18,,4.53,29.73,,31.24,96.13,,23.19,4.38,,71.9,58.11,,37.42,16.38,,35.56,84.68,,54.89,41.53,,32.14,44.84,,
22,,60.81,2.66,,53.78,76.03,,5.74,28.98,,32.3,96.4,,21.96,5.86,,71.1,57.45,,36.22,17.84,,36.31,86.03,,56.12,42.28,,31.88,45.12,,
23,,60.11,2.39,,53.8,75.89,,6.93,28.23,,33.36,96.7,,20.73,7.33,,70.31,56.79,,35.02,19.3,,37.06,87.36,,57.36,43.03,,31.61,45.4,,
24,,59.41,2.66,,53.84,75.75,,8.11,27.49,,34.4,97.04,,19.48,8.79,,69.54,56.14,,33.83,20.75,,37.82,88.68,,58.6,43.77,,31.33,45.69,,
25,,58.72,2.92,,53.87,75.61,,9.28,26.74,,35.42,97.42,,18.23,10.23,,68.78,55.49,,32.64,22.2,,38.59,89.96,,59.84,44.5,,31.05,45.98,,
26,,58.03,3.17,,53.92,75.48,,10.43,26,,36.42,97.86,,16.97,11.65,,68.04,54.86,,31.46,23.65,,39.37,91.21,,61.07,45.22,,30.76,46.28,,
27,,57.35,3.41,,53.97,75.35,,11.56,25.27,,37.39,97.41,,15.7,13.05,,67.33,54.24,,30.28,25.09,,40.17,92.41,,62.3,45.91,,30.47,46.59,,
28,,56.67,3.65,,54.02,75.22,,12.66,24.56,,38.3,97.08,,14.43,14.42,,66.64,53.65,,29.12,26.53,,41.03,93.52,,63.52,46.57,,30.18,46.9,,
