Round,,Object 0,,,Object 1,,,Object 2,,,Object 3,,,Object 4,,,Object 5,,,Object 6,,,Object 7,,,Object 8,,,Object 9,
,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y,,x,y
0,,2.58,69.2,,55.84,88.42,,18.83,36.98,,43.8,95.17,,81.64,63.92,,60.37,73.5,,50.11,7.5,,87.32,20.81,,38.14,51.33,,33.43,30.22
1,,1.87,69.52,,57,89.27,,17.05,36.9,,42.1,96.84,,82.69,63.79,,60.91,72.74,,50.28,6.68,,87.84,20.48,,38.32,51.81,,33.99,29.03
2,,2.57,69.97,,58.4,90.54,,14.81,36.73,,40.07,98.92,,84.14,63.61,,61.55,71.81,,50.52,5.53,,88.55,20.02,,38.5,52.4,,34.6,27.53
3,,3.01,70.54,,59.98,92.19,,12.19,36.45,,37.81,96.89,,85.96,63.42,,62.26,70.8,,50.84,4.06,,89.46,19.44,,38.67,53.05,,35.21,25.79
4,,3.2,71.23,,61.76,94.22,,9.25,36.07,,35.31,95.13,,88.14,63.2,,63.04,69.75,,51.22,2.29,,90.55,18.74,,38.78,53.73,,35.77,23.87
5,,3.15,72.04,,63.71,96.59,,6.05,35.56,,32.65,93.6,,90.64,62.99,,63.91,68.69,,51.67,4.06,,91.81,17.92,,38.84,54.39,,36.26,21.8
6,,2.85,72.94,,65.77,99.26,,2.6,34.95,,29.88,92.29,,93.44,62.8,,64.87,67.66,,52.26,5.49,,93.24,16.99,,38.84,55.02,,36.61,19.66
7,,2.31,73.93,,67.93,96.62,,-1.05,34.23,,27.05,91.22,,96.5,62.63,,65.93,66.67,,53.03,6.59,,94.84,15.94,,38.75,55.62,,36.75,17.49
8,,2.86,74.97,,70.18,94.25,,2.59,33.42,,24.17,90.4,,99.81,62.47,,67.08,65.67,,54.04,7.37,,96.59,14.79,,38.6,56.18,,36.61,15.29
9,,3.1,76.03,,72.53,92.17,,6.02,32.51,,21.31,89.85,,96.51,62.35,,68.32,64.65,,55.33,7.89,,98.49,13.52,,38.39,56.71,,36.18,13.01
10,,3,77.08,,74.95,90.4,,9.22,31.51,,18.5,89.62,,93.51,62.21,,69.58,63.59,,56.87,8.2,,96.59,12.14,,38.12,57.23,,35.5,10.57
11,,2.5,78.04,,77.46,88.96,,12.2,30.45,,15.8,89.74,,90.91,62.06,,70.76,62.49,,58.61,8.35,,94.86,10.66,,37.82,57.74,,34.62,7.94
12,,3.02,78.86,,80.04,87.87,,14.94,29.32,,13.27,90.27,,88.8,61.85,,71.76,61.34,,60.47,8.35,,93.32,9.06,,37.46,58.28,,33.59,5.08
